aa	e~e
rigging's	jahAja~kI~rassI{@vib:kA}
rigging	viSeRa~upakaraNa/upakaraNa~se~lesa~karanA^cAlAkI~se~saFcAliwa~karanA~{@ing}{0}
righted	sahI[>xAyAz]^aXikAra~{@ed/@en}
righted	xAzyA^sahI~{@ed/@en}
righteouser	saccA~{wara}
righteouses'	saccA{ba.}{@vib:kA}
righteouses	saccA{@s}
righteousest	saccA~{wama}
righteousman	XarmaparAyaNa~vyakwi
righteousnesses'	nekI{ba.}{@vib:kA}
righteousnesses	nekI{@s}
righteousness	nekI{0}
righteousness's	nekI{@vib:kA}
righteous	saccA[-]
righteous's	saccA{@vib:kA}
righter	xAzyA^sahI~{wara}
rightest	sahI[>xAyAz]^aXikAra~{wama}
rightest	xAzyA^sahI~{wama}
rightful	aXikArI[-]
rightfuler	aXikArI~{wara}
rightfulest	aXikArI~{wama}
righting	sahI[>xAyAz]^aXikAra~{@ing}
righting	xAzyA^sahI~{@ing}
rightly	uciwa
right	sahI[>xAyAz]^aXikAra{0}
rights	sahI[>xAyAz]^aXikAra~{@s}
rights'	sahI[>xAyAz]^aXikAra{@s}{@vib:kA}
right's	sahI[>xAyAz]^aXikAra{@vib:kA}
rights'	xAzyA^sahI{ba.}{@vib:kA}
rights	xAzyA^sahI~{@s}
right's	xAzyA^sahI{@vib:kA}
right	xAzyA^sahI{0}
rigider	kadA~{wara}
rigidest	kadA~{wama}
rigidest	xqDa^anamya~{wama}
rigidities'	kaTorawA{ba.}{@vib:kA}
rigidities	kaTorawA{@s}
rigidity	kaTorawA{0}
rigidity's	kaTorawA{@vib:kA}
rigid	kadA[-]
rigidnesses'	kaTorawA{ba.}{@vib:kA}
rigidnesses	kaTorawA{@s}
rigidness	kaTorawA{0}
rigidness's	kaTorawA{@vib:kA}
rigid	xqDa^anamya[-]
rigman	rigamEna
rigmarole	anApa-SanApa{0}
rigmaroles'	anApa-SanApa{ba.}{@vib:kA}
rigmaroles	anApa-SanApa{@s}
rigmarole's	anApa-SanApa{@vib:kA}
rigor	kadAI^kaTinAI{0}
rigorouser	kadI~{wara}
rigorousest	kadI~{wama}
rigorous	kadI[-]
rigors'	kadAI^kaTinAI{ba.}{@vib:kA}
rigors	kadAI^kaTinAI{@s}
rigor's	kadAI^kaTinAI{@vib:kA}
rigour	kadAI^kaTinAI{0}
rigours'	kadAI^kaTinAI{ba.}{@vib:kA}
rigours	kadAI^kaTinAI{@s}
rigour's	kadAI^kaTinAI{@vib:kA}
rigs'	viSeRa~upakaraNa/upakaraNa~se~lesa~karanA^cAlAkI~se~saFcAliwa~karanA{ba.}{@vib:kA}
rigs	viSeRa~upakaraNa/upakaraNa~se~lesa~karanA^cAlAkI~se~saFcAliwa~karanA~{@s}
rig's	viSeRa~upakaraNa/upakaraNa~se~lesa~karanA^cAlAkI~se~saFcAliwa~karanA{@vib:kA}
rig	viSeRa~upakaraNa/upakaraNa~se~lesa~karanA^cAlAkI~se~saFcAliwa~karanA{0}
rimed	wukabanxI/wukabanxI~karanA~{@ed/@en}
rimes'	wukabanxI/wukabanxI~karanA{ba.}{@vib:kA}
rimes	wukabanxI/wukabanxI~karanA~{@s}
rime's	wukabanxI/wukabanxI~karanA{@vib:kA}
rime	wukabanxI/wukabanxI~karanA{0}
riming	wukabanxI/wukabanxI~karanA~{@ing}
rim	kinArA/kinArA~lagAnA{0}
rimmed	kinArA/kinArA~lagAnA~{@ed/@en}
rimming	kinArA/kinArA~lagAnA~{@ing}
rims'	kinArA/kinArA~lagAnA{ba.}{@vib:kA}
rims	kinArA/kinArA~lagAnA~{@s}
rim's	kinArA/kinArA~lagAnA{@vib:kA}
rind	camadA^CilakA{0}
rinds'	camadA^CilakA{ba.}{@vib:kA}
rinds	camadA^CilakA{@s}
rind's	camadA^CilakA{@vib:kA}
ring	azgUTI^CallA{cABI/nepakina~kA}{0}
ring	CallA-[GerA]^bajAnA{0}
ringing	azgUTI^CallA{cABI/nepakina~kA}~{@ing}
ringing	CallA-[GerA]^bajAnA~{@ing}
ring-leader	saraganA{0}
ringleader	saraganA{0}
ringleaders'	saraganA{ba.}{@vib:kA}{ba.}+kA
ring-leaders'	saraganA{ba.}{@vib:kA}
ring-leaders	saraganA{@s}
ringleaders	saraganA{@s}
ringleader's	saraganA{@vib:kA}+kA
ring-leader's	saraganA{@vib:kA}
ringlet	GUzGarAle~bAla
ringmaster	sarakasa~ke~Kela~kA~prabanXaka
rings'	azgUTI^CallA{cABI/nepakina~kA}{ba.}{@vib:kA}
rings	azgUTI^CallA{cABI/nepakina~kA}~{@s}
ring's	azgUTI^CallA{cABI/nepakina~kA}{@vib:kA}
rings	CallA-[GerA]^bajAnA~{@s}
rings'	CallA-[GerA]^bajAnA{@s}{@vib:kA}
ring's	CallA-[GerA]^bajAnA{@vib:kA}
ringside	Baraga_sA
ringworms'	xAxa{ba.}{@vib:kA}
ringworms	xAxa{@s}
ringworm's	xAxa{@vib:kA}
ringworm	xAxa{0}
rink	barPa~kA~mExAna{0}
rinks'	barPa~kA~mExAna{ba.}{@vib:kA}
rinks	barPa~kA~mExAna{@s}
rink's	barPa~kA~mExAna{@vib:kA}
rinsed	XulAI/KafgAlanA~{@ed/@en}
rinses'	XulAI/KafgAlanA{ba.}{@vib:kA}
rinses	XulAI/KafgAlanA~{@s}
rinse's	XulAI/KafgAlanA{@vib:kA}
rinse	XulAI/KafgAlanA{0}
rinsing	XulAI/KafgAlanA~{@ing}
rioted	xafgA^PasAxa~{@ed/@en}
rioted	xafgA/xafgA~karanA~{@ed/@en}
rioters'	xafgA~karane~vAlA{ba.}{@vib:kA}
rioters	xafgA~karane~vAlA{@s}
rioter's	xafgA~karane~vAlA{@vib:kA}
rioter	xafgA~karane~vAlA{0}
rioting	xafgA^PasAxa~{@ing}
rioting	xafgA/xafgA~karanA~{@ing}
riotouser	rAjaxrohI~{wara}
riotousest	rAjaxrohI~{wama}
riotous	rAjaxrohI[-]
riots	xafgA^PasAxa~{@s}
riots'	xafgA^PasAxa{@s}{@vib:kA}
riot's	xafgA^PasAxa{@vib:kA}
riots'	xafgA/xafgA~karanA{ba.}{@vib:kA}
riots	xafgA/xafgA~karanA~{@s}
riot's	xafgA/xafgA~karanA{@vib:kA}
riot	xafgA^PasAxa{0}
riot	xafgA/xafgA~karanA{0}
rip	cIrA{0}
ripened	pakanA/pakAnA~{@ed/@en}
ripenesses'	prODawA{ba.}{@vib:kA}
ripenesses	prODawA{@s}
ripeness	prODawA{0}
ripeness's	prODawA{@vib:kA}
ripening	pakanA/pakAnA~{@ing}
ripen	pakanA/pakAnA{0}
ripens	pakanA/pakAnA~{@s}
ripe	pakA~huA[-]
ripe	pakA~huA[-]
riper	pakA~huA~{wara}
ripest	pakA~huA~{wama}
ripest	pakA~huA~{wama}
ripped	cIrA~{@ed/@en}
ripping	cIrA~{@ing}
ripple	CotI~warafga/laharAnA{0}
rippled	CotI~warafga/laharAnA~{@ed/@en}
ripples'	CotI~warafga/laharAnA{ba.}{@vib:kA}
ripples	CotI~warafga/laharAnA~{@s}
ripple's	CotI~warafga/laharAnA{@vib:kA}
rippling	CotI~warafga/laharAnA~{@ing}
rips'	cIrA{ba.}{@vib:kA}
rips	cIrA~{@s}
rip's	cIrA{@vib:kA}
risen	Upara~uTanA[baDanA]~{@en}
risen	uTanA^uxiwa~honA~{@en}
risers'	uTane~vAlA{ba.}{@vib:kA}
risers	uTane~vAlA{@s}
riser's	uTane~vAlA{@vib:kA}
riser	uTane~vAlA{0}
rises	Upara~uTanA[baDanA]~{@s}
rises	uTanA^uxiwa~honA~{@s}
rise	Upara~uTanA[baDanA]{0}
rise	uTanA^uxiwa~honA{0}
risinger	unnawiSIla/vixroha/uwWAna~{wara}
risingest	unnawiSIla/vixroha/uwWAna~{wama}
risings'	unnawiSIla/vixroha/uwWAna{ba.}{@vib:kA}
risings	unnawiSIla/vixroha/uwWAna{@s}
rising's	unnawiSIla/vixroha/uwWAna{@vib:kA}
rising	Upara~uTanA[baDanA]~{@ing}
rising	uTanA^uxiwa~honA~{@ing}[-]
risked	joKima~{@ed/@en}
risked	KawarA/joKima~uTAnA~{@ed/@en}
riskier	KawaranAka~{wara}
riskiest	KawaranAka~{wama}
risking	joKima~{@ing}
risking	KawarA/joKima~uTAnA~{@ing}
risk	joKima{0}
risk	KawarA/joKima~uTAnA{0}
risks	joKima~{@s}
risks'	joKima{@s}{@vib:kA}
risk's	joKima{@vib:kA}
risks'	KawarA/joKima~uTAnA{ba.}{@vib:kA}
risks	KawarA/joKima~uTAnA~{@s}
risk's	KawarA/joKima~uTAnA{@vib:kA}
risky	KawaranAka[-]
rite	rIwi{0}
rites'	rIwi{ba.}{@vib:kA}
rites	rIwi{@s}
rite's	rIwi{@vib:kA}
ritualer	rasma~sambanXI/kriyApaxXawi~{wara}
ritualest	rasma~sambanXI/kriyApaxXawi~{wama}
ritualest	viXi^viXAna~{wama}
ritual	rasma~sambanXI/kriyApaxXawi[-]
rituals'	rasma~sambanXI/kriyApaxXawi{ba.}{@vib:kA}
rituals	rasma~sambanXI/kriyApaxXawi{@s}
ritual's	rasma~sambanXI/kriyApaxXawi{@vib:kA}
rituals	viXi^viXAna{@s}
rituals'	viXi^viXAna{@s}{@vib:kA}
ritual's	viXi^viXAna{@vib:kA}
ritual	viXi^viXAna[-]
ritu	qwu
rivaled	prawixvanxI/barAbarI~karanA~{@ed/@en}
rivaling	prawixvanxI/barAbarI~karanA~{@ing}
rivalled	prawixvanxI/barAbarI~karanA~{@ed/@en}
rivalling	prawixvanxI/barAbarI~karanA~{@ing}
rival	prawixvanxI/barAbarI~karanA{0}
rivalries'	prawixvanxviwA{ba.}{@vib:kA}
rivalries	prawixvanxviwA{@s}
rivalry	prawixvanxviwA{0}
rivalry's	prawixvanxviwA{@vib:kA}
rivals'	prawixvanxI/barAbarI~karanA{ba.}{@vib:kA}
rivals	prawixvanxI/barAbarI~karanA~{@s}
rival's	prawixvanxI/barAbarI~karanA{@vib:kA}
riven	cIranA
river-bed	naxI~kA~walA{0}
riverbed	naxI~kA~walA{0}
river-beds'	naxI~kA~walA{ba.}{@vib:kA}
riverbeds'	naxI~kA~walA{ba.}{@vib:kA}
river-beds	naxI~kA~walA{@s}
riverbeds	naxI~kA~walA{@s}
river-bed's	naxI~kA~walA{@vib:kA}
riverbed's	naxI~kA~walA{@vib:kA}
river	naxI{0}
river	naxI{0}
riverside	naxI-kinArA{0}
riversides'	naxI-kinArA{ba.}{@vib:kA}
riversides	naxI-kinArA{@s}
riverside's	naxI-kinArA{@vib:kA}
rivers'	naxI{ba.}{@vib:kA}
rivers	naxI{@s}
rivers	naxI{@s}
rivers'	naxI{@s}{@vib:kA}
river's	naxI{@vib:kA}
river's	naxI{@vib:kA}
riveted	ribeta/KUztI~se~jadanA^AkqRta~karanA~{@ed/@en}
riveting	ribeta/KUztI~se~jadanA^AkqRta~karanA~{@ing}
rivetor	rivetakAra
rivet	ribeta/KUztI~se~jadanA^AkqRta~karanA{0}
rivets'	ribeta/KUztI~se~jadanA^AkqRta~karanA{ba.}{@vib:kA}
rivets	ribeta/KUztI~se~jadanA^AkqRta~karanA~{@s}
rivet's	ribeta/KUztI~se~jadanA^AkqRta~karanA{@vib:kA}
r	
roach	eka~prakAra~kI~maCalI{eka.ba.}
roaches'	eka~prakAra~kI~maCalI{ba.}{@vib:kA}
roaches	eka~prakAra~kI~maCalI{eka.ba.}
roaches's	eka~prakAra~kI~maCalI{@vib:kA}
roach's	eka~prakAra~kI~maCalI{@vib:kA}{ba.}+kA
roadblock	mArga-roka{0}
roadblocks'	mArga-roka{ba.}{@vib:kA}
roadblocks	mArga-roka{@s}
roadblock's	mArga-roka{@vib:kA}
road-house	paba{0}
roadhouse	paba{0}
road-houses'	paba{ba.}{@vib:kA}
roadhouses'	paba{ba.}{@vib:kA}
road-houses	paba{@s}
roadhouses	paba{@s}
road-house's	paba{@vib:kA}
roadhouse's	paba{@vib:kA}
roadman	sadaka~karmI
road	sadaka{0}
road	sadaka{0}
roadside	sadaka~kinAre{0}
roadsides'	sadaka~kinAre{ba.}{@vib:kA}
roadsides	sadaka~kinAre{@s}
roadside's	sadaka~kinAre{@vib:kA}
roads'	sadaka{ba.}{@vib:kA}
roads	sadaka{@s}
roads	sadaka{@s}
roads'	sadaka{@s}{@vib:kA}
road's	sadaka{@vib:kA}
road's	sadaka{@vib:kA}
roadway	sadakamArga{0}
roadways'	sadakamArga{ba.}{@vib:kA}
roadways	sadakamArga{@s}
roadway's	sadakamArga{@vib:kA}
roadworks	sadaka~kA~kAma
roadworthy	mArgayogya
roamed	GUmanA-PiranA~{@ed/@en}
roam	GUmanA-PiranA{0}
roaming	GUmanA-PiranA~{@ing}
roams'	GUmanA-PiranA{ba.}{@vib:kA}
roams	GUmanA-PiranA~{@s}
roam's	GUmanA-PiranA{@vib:kA}
roared	garaja~{@ed/@en}
roared	xahAda/xahAdanA^gadagadAnA~{@ed/@en}
roar	garaja{0}
roaring	garaja~{@ing}
roaring	xahAda/xahAdanA^gadagadAnA~{@ing}
roars	garaja~{@s}
roars'	garaja{@s}{@vib:kA}
roar's	garaja{@vib:kA}
roars'	xahAda/xahAdanA^gadagadAnA{ba.}{@vib:kA}
roars	xahAda/xahAdanA^gadagadAnA~{@s}
roar's	xahAda/xahAdanA^gadagadAnA{@vib:kA}
roar	xahAda/xahAdanA^gadagadAnA{0}
roast	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA{0}
roasted	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA~{@ed/@en}
roasting	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA~{@ing}
roasts'	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA{ba.}{@vib:kA}
roasts	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA~{@s}
roast's	BunI~huI~vaswu/BUnanA^CixrAnveRaNa~karanA{@vib:kA}
robbed	lUta~{@ed/@en}
robbed	lUtanA^CInanA~{@ed/@en}
robber	dAkU{0}
robberies'	dakEwI{ba.}{@vib:kA}
robberies	dakEwI{@s}
robbers'	dAkU{ba.}{@vib:kA}
robbers	dAkU{@s}
robber's	dAkU{@vib:kA}
robbery	dakEwI{0}
robbery's	dakEwI{@vib:kA}
robbing	lUta~{@ing}
robbing	lUtanA^CInanA~{@ing}
robed	jAmA/saBAvaswra~XAraNa~karanA~{@ed/@en}
robe	jAmA/saBAvaswra~XAraNa~karanA{0}
robes'	jAmA/saBAvaswra~XAraNa~karanA{ba.}{@vib:kA}
robes	jAmA/saBAvaswra~XAraNa~karanA~{@s}
robe's	jAmA/saBAvaswra~XAraNa~karanA{@vib:kA}
robing	jAmA/saBAvaswra~XAraNa~karanA~{@ing}
robin	robina
robin	roYbina{eka~prakAra~kA~pakRI~jisakI~CAwI~lAla~howI~hE}{0}
robins'	roYbina{eka~prakAra~kA~pakRI~jisakI~CAwI~lAla~howI~hE}{ba.}{@vib:kA}
robins	roYbina{eka~prakAra~kA~pakRI~jisakI~CAwI~lAla~howI~hE}{@s}
robin's	roYbina{eka~prakAra~kA~pakRI~jisakI~CAwI~lAla~howI~hE}{@vib:kA}
rob	lUta{0}
rob	lUtanA^CInanA{0}
robotics	robotiksa
robots'	yanwravawa~kAma~karanevAlA{ba.}{@vib:kA}
robots	yanwravawa~kAma~karanevAlA{@s}
robot's	yanwravawa~kAma~karanevAlA{@vib:kA}
robot	yanwravawa~kAma~karanevAlA{0}
robs	lUtanA^CInanA~{@s}
robs	lUta~{@s}
robuster	majabUwa~{wara}
robustest	majabUwa~{wama}
robust	majabUwa[-]
rockabilly	roYkebilI
rock-bottom	nimnawama{0}
rockbottom	nimnawama{0}
rock-bottom's	nimnawama{@vib:kA}
rockbottom's	nimnawama{@vib:kA}
rock	cattAna/hilanA^hila~jAnA{xenA}{0}
rock	cattAna^tIlA/hilanA{0}
rocked	cattAna/hilanA^hila~jAnA{xenA}~{@ed/@en}
rocked	cattAna^tIlA/hilanA~{@ed/@en}
rockeries'	pawWaroM~ke~bIcame~pOXe{ba.}{@vib:kA}
rockeries	pawWaroM~ke~bIcame~pOXe{@s}
rocker	pAlanA~yA~hiMdolA{0}
rockers'	pAlanA~yA~hiMdolA{ba.}{@vib:kA}
rockers	pAlanA~yA~hiMdolA{@s}
rocker's	pAlanA~yA~hiMdolA{@vib:kA}
rockery	pawWaroM~ke~bIcame~pOXe{0}
rockery's	pawWaroM~ke~bIcame~pOXe{@vib:kA}
rocket	bANa-havAI/acAnaka~bahuwa~baDanA{0}
rocketed	bANa-havAI/acAnaka~bahuwa~baDanA~{@ed/@en}
rocketed	rAketa~{@ed/@en}
rocketing	bANa-havAI/acAnaka~bahuwa~baDanA~{@ing}
rocketing	rAketa~{@ing}
rocket	rAketa{0}
rockets'	bANa-havAI/acAnaka~bahuwa~baDanA{ba.}{@vib:kA}
rockets	bANa-havAI/acAnaka~bahuwa~baDanA~{@s}
rocket's	bANa-havAI/acAnaka~bahuwa~baDanA{@vib:kA}
rockets	rAketa~{@s}
rockets'	rAketa{@s}{@vib:kA}
rocket's	rAketa{@vib:kA}
rockier	paWarIlA~{wara}
rockiest	paWarIlA~{wama}
rocking	cattAna/hilanA^hila~jAnA{xenA}~{@ing}
rocking	cattAna^tIlA/hilanA~{@ing}
rocks'	cattAna/hilanA^hila~jAnA{xenA}{ba.}{@vib:kA}
rocks	cattAna/hilanA^hila~jAnA{xenA}~{@s}
rock's	cattAna/hilanA^hila~jAnA{xenA}{@vib:kA}
rocks	cattAna^tIlA/hilanA~{@s}
rocks'	cattAna^tIlA/hilanA{@s}{@vib:kA}
rock's	cattAna^tIlA/hilanA{@vib:kA}
rocky	paWarIlA[-]
rococo	aXika~alafkqwa{0}
rococos'	aXika~alafkqwa{ba.}{@vib:kA}
rococos	aXika~alafkqwa{@s}
rococo's	aXika~alafkqwa{@vib:kA}
rod	Cada{0}
rodding	roYdiMga
rodent	cUhA~gilaharI~Axi~kawarane~vAle~jAnavara{0}
rodents'	cUhA~gilaharI~Axi~kawarane~vAle~jAnavara{ba.}{@vib:kA}
rodents	cUhA~gilaharI~Axi~kawarane~vAle~jAnavara{@s}
rodent's	cUhA~gilaharI~Axi~kawarane~vAle~jAnavara{@vib:kA}
rode	savArI~[karanA]~{@ed}
rode	sEra{Gode~yA~gAdI~para~savAra~hokara~sEra}/savArI~karanA~{@ed}
rod's	Cada{@vib:kA}
roebuck	nara~hirana{eka.ba.}
roebuckses'	nara~hirana{ba.}{@vib:kA}
roebuckses	nara~hirana{@s}
roebucks'	nara~hirana{ba.}{@vib:kA}
roebucks	nara~hirana{eka.ba.}
roebuck's	nara~hirana{@vib:kA}{ba.}+kA
roebucks's	nara~hirana{@vib:kA}
roe	eka~prakAra~kA~hirana{eka.ba.}
roes'	eka~prakAra~kA~hirana{ba.}{@vib:kA}
roes	eka~prakAra~kA~hirana{eka.ba.}
roe's	eka~prakAra~kA~hirana{@vib:kA}{ba.}+kA
roes's	eka~prakAra~kA~hirana{@vib:kA}
rogue	AvArA^adiyala~jAnavara{GodA/hAWI}{0}
rogues'	AvArA^adiyala~jAnavara{GodA/hAWI}{ba.}{@vib:kA}
rogues	AvArA^adiyala~jAnavara{GodA/hAWI}{@s}
rogue's	AvArA^adiyala~jAnavara{GodA/hAWI}{@vib:kA}
role	BUmikA{0}
role	BUmikA{0}
roles'	BUmikA{ba.}{@vib:kA}
roles	BUmikA{@s}
roles	BUmikA{@s}
roles'	BUmikA{@s}{@vib:kA}
role's	BUmikA{@vib:kA}
role's	BUmikA{@vib:kA}
rolled	golA^sUcI~{@ed/@en}
roller	belana{0}
roller-coaster	rolara~kostara{baccoM~kI~patarI~para~Upara~nIce~calane~vAlI~gAdI}
rollers'	belana{ba.}{@vib:kA}
rollers	belana{@s}
roller's	belana{@vib:kA}
roll	golA^sUcI{0}
rollick	beparavAhI~se~GUma{0}
rollicked	beparavAhI~se~GUma~{@ed/@en}
rollicking	beparavAhI~se~GUma~{@ing}
rollicks'	beparavAhI~se~GUma{ba.}{@vib:kA}
rollicks	beparavAhI~se~GUma~{@s}
rollick's	beparavAhI~se~GUma{@vib:kA}
roll-in	arnwavarwana
rolling	golA^sUcI~{@ing}
rolling-pin	belana{0}
rolling-pin	belana
rolling-pins'	belana{ba.}{@vib:kA}
rolling-pins	belana{@s}
rolling-pin's	belana{@vib:kA}
rolling-stock	CotI~gAdI{patarI~para~calane~vAlI}{0}
rolling-stock's	CotI~gAdI{patarI~para~calane~vAlI}{@vib:kA}
roll-out	barhivarwana
rolls'	golA^sUcI{ba.}{@vib:kA}
rolls	golA^sUcI~{@s}
roll's	golA^sUcI{@vib:kA}
roly-polier	gola-matola/pudiMga~{wara}
rolypolier	gola-matola/pudiMga~{wara}
roly-polies'	gola-matola/pudiMga{ba.}{@vib:kA}
rolypolies'	gola-matola/pudiMga{ba.}{@vib:kA}
roly-polies	gola-matola/pudiMga{@s}
rolypolies	gola-matola/pudiMga{@s}
roly-poliest	gola-matola/pudiMga~{wama}
rolypoliest	gola-matola/pudiMga~{wama}
roly-poly	gola-matola/pudiMga[-]
rolypoly	gola-matola/pudiMga[-]
roly-poly's	gola-matola/pudiMga{@vib:kA}
rolypoly's	gola-matola/pudiMga{@vib:kA}
romanced	premakahAnI^romAFca~{@ed/@en}
romance	premakahAnI^romAFca{0}
romance	romAFca^romAMsa
romances'	premakahAnI^romAFca{ba.}{@vib:kA}
romances	premakahAnI^romAFca~{@s}
romance's	premakahAnI^romAFca{@vib:kA}
romancing	premakahAnI^romAFca~{@ing}
Romaner	romavAsI/romavAsI~{wara}
romanest	romana~{wama}
Romanest	romavAsI/romavAsI~{wama}
ROMANIA	romAniAA
roman	romana[-]
Roman	romavAsI[-]
romans	romana{@s}
romans'	romana{@s}{@vib:kA}
roman's	romana{@vib:kA}
Romans'	romavAsI/romavAsI{ba.}{@vib:kA}
Romans	romavAsI/romavAsI{@s}
Roman's	romavAsI/romavAsI{@vib:kA}
romanticer	kalpiwa^romAnI~{wara}
romanticest	kalpiwa^romAnI~{wama}
romanticest	romAnI^romAFcakArI~{wama}
romantic	kalpiwa^romAnI[-]
romantic	romAnI^romAFcakArI[-]
romantics'	kalpiwa^romAnI{ba.}{@vib:kA}
romantics	kalpiwa^romAnI{@s}
romantic's	kalpiwa^romAnI{@vib:kA}
romantics	romAnI^romAFcakArI{@s}
romantics'	romAnI^romAFcakArI{@s}{@vib:kA}
romantic's	romAnI^romAFcakArI{@vib:kA}
romped	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]~{@ed/@en}
romping	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]~{@ing}
romps'	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]{ba.}{@vib:kA}
romps	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]~{@s}
romp's	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]{@vib:kA}
romp	uCala~kUxa^majexAra~Pilma[kaWA/puswaka]{0}
rom	roma(kevala~paTanIya~smqwi)
roof	Cawa{0}
roof	Cawa/Cawa~pAtanA{0}
roofed	Cawa/Cawa~pAtanA~{@ed/@en}
roofed	Cawa~{@ed/@en}
roofing	Cawa/Cawa~pAtanA~{@ing}
roofing	Cawa~{@ing}
roofs'	Cawa/Cawa~pAtanA{ba.}{@vib:kA}
roofs	Cawa/Cawa~pAtanA~{@s}
roof's	Cawa/Cawa~pAtanA{@vib:kA}
roofs	Cawa~{@s}
roofs'	Cawa{@s}{@vib:kA}
roof's	Cawa{@vib:kA}
rooftop	Cawa~kA~UparI~BAga
rooked	kOvA~jEsA~pakRI/TaganA~{@ed/@en}
rookie	nayA{anuBavahIna}{0}
rookies'	nayA{anuBavahIna}{ba.}{@vib:kA}
rookies	nayA{anuBavahIna}{@s}
rookie's	nayA{anuBavahIna}{@vib:kA}
rooking	kOvA~jEsA~pakRI/TaganA~{@ing}
rook	kOvA~jEsA~pakRI/TaganA{0}
rooks'	kOvA~jEsA~pakRI/TaganA{ba.}{@vib:kA}
rooks	kOvA~jEsA~pakRI/TaganA~{@s}
rook's	kOvA~jEsA~pakRI/TaganA{@vib:kA}
roomier	jagahaxAra~{wara}
roomiest	jagahaxAra~{wama}
room	kakRa^kamarA^sWAna{0}
room	kamarA^sWAna{0}
room-mate	sAWI{0}
roommate	sAWI{0}
room-mates'	sAWI{ba.}{@vib:kA}
roommates'	sAWI{ba.}{@vib:kA}
room-mates	sAWI{@s}
roommates	sAWI{@s}
room-mate's	sAWI{@vib:kA}
roommate's	sAWI{@vib:kA}
rooms	kakRa^kamarA^sWAna{@s}
rooms'	kakRa^kamarA^sWAna{@s}{@vib:kA}
room's	kakRa^kamarA^sWAna{@vib:kA}
rooms'	kamarA^sWAna{ba.}{@vib:kA}
rooms	kamarA^sWAna{@s}
room's	kamarA^sWAna{@vib:kA}
roomy	jagahaxAra[-]
roost	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}{0}
roosted	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}~{@ed/@en}
rooster	murgA{0}
roosters'	murgA{ba.}{@vib:kA}
roosters	murgA{@s}
rooster's	murgA{@vib:kA}
roosting	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}~{@ing}
roosts'	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}{ba.}{@vib:kA}
roosts	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}~{@s}
roost's	addA{~pakRiyoz~kA}/adde~para~bETanA{pakRI~kI~waraha}{@vib:kA}
rooted	jada^mUla~{@ed/@en}
rooted	jada^vargamUla~{@ed/@en}
rooting	jada^mUla~{@ing}
rooting	jada^vargamUla~{@ing}
root	jada^mUla{0}
root	jada^vargamUla{0}
roots	jada^mUla~{@s}
roots'	jada^mUla{@s}{@vib:kA}
root's	jada^mUla{@vib:kA}
roots'	jada^vargamUla{ba.}{@vib:kA}
roots	jada^vargamUla~{@s}
root's	jada^vargamUla{@vib:kA}
roped	rassI/rassI~se~bAzXanA{bazXanA}~{@en}
rope	rassI{0}
rope	rassI/rassI~se~bAzXanA{bazXanA}{0}
ropes'	rassI/rassI~se~bAzXanA{bazXanA}{ba.}{@vib:kA}
ropes	rassI/rassI~se~bAzXanA{bazXanA}{@s}
rope's	rassI/rassI~se~bAzXanA{bazXanA}{@vib:kA}
ropes	rassI{@s}
ropes'	rassI{@s}{@vib:kA}
rope's	rassI{@vib:kA}
ropey	bekAra[-]
ropier	bekAra~{wara}
ropiest	bekAra~{wama}
ropy	bekAra[-]
rosaries'	japamAlA^gulAba~kA~bAga{ba.}{@vib:kA}
rosaries	japamAlA^gulAba~kA~bAga{@s}
rosary	japamAlA^gulAba~kA~bAga{0}
rosary's	japamAlA^gulAba~kA~bAga{@vib:kA}
rosebud	gulAba~kI~kalI
roser	gulAba~kA~PUla~yA~pOXA~{wara}
roses'	gulAba~kA~PUla~yA~pOXA{ba.}{@vib:kA}
roses	gulAba~kA~PUla~yA~pOXA{@s}
rose's	gulAba~kA~PUla~yA~pOXA{@vib:kA}
roses	gulAba{@s}
roses'	gulAba{@s}{@vib:kA}
rose's	gulAba{@vib:kA}
rosest	gulAba~kA~PUla~yA~pOXA~{wama}
rosest	gulAba~{wama}
rosette	rafga-birafge~ribanoM~kA~banA~billA{0}
rosettes'	rafga-birafge~ribanoM~kA~banA~billA{ba.}{@vib:kA}
rosettes	rafga-birafge~ribanoM~kA~banA~billA{@s}
rosette's	rafga-birafge~ribanoM~kA~banA~billA{@vib:kA}
rose	uTA`[gulAba]
rose	uTanA^uxiwa~honA~{@ed}[-]
rose-water	gulAba-jala{0}
